product_id,product_name,category,subcategory,brand,price,cost_price,discount_range,rating_average,rating_count,stock_quantity,product_launch_date,product_type,return_rate_baseline
PROD10019,Kala-Rattan Classic Dinnerware,Home & Kitchen,Dinnerware,Kala-Rattan,2910.0,2115.56,30-45%,3.4,241,1472,2024-03-14,Standard,0.0947
PROD10020,Bhatti-Kakar Ultra Non-Fiction,Books,Non-Fiction,Bhatti-Kakar,220.0,164.01,25-40%,3.7,53,497,2025-10-02,Premium,0.0205
PROD10021,Barad-Singhal Advanced Men's Bottomwear,Fashion,Men's Bottomwear,Barad-Singhal,950.0,595.38,20-35%,4.1,177,2877,2024-01-27,Standard,0.1332
PROD10022,"Cherian, Smart Office Furniture",Furniture,Office Furniture,"Cherian,",15320.0,11414.49,30-45%,3.9,3,116,2024-01-11,Budget,0.0861
PROD10023,"Prakash, Advanced Phone Case",Mobile Accessories,Phone Cases,"Prakash,",890.0,591.15,5-20%,4.2,134,2124,2025-05-01,Standard,0.0447
PROD10024,Patla-Gaba Signature Haircare,Beauty,Haircare,Patla-Gaba,190.0,115.47,5-20%,3.9,132,881,2025-03-02,Exclusive,0.0561
PROD10025,Kade-Sani Basic Snack,Grocery,Snacks,Kade-Sani,1500.0,1165.58,10-25%,3.1,66,717,2024-03-10,Standard,0.013
PROD10026,"Cherian, Everyday Handbag",Bags,Handbags,"Cherian,",670.0,397.33,20-35%,3.4,29,186,2023-10-17,Premium,0.1363
PROD10027,Mallick Advanced Power Bank,Mobile Accessories,Power Banks,Mallick,420.0,306.7,20-35%,3.7,7,1478,2023-07-04,Standard,0.0359
PROD10028,Grewal Premium Makeup,Beauty,Makeup,Grewal,760.0,459.69,30-45%,4.5,16,1567,2024-05-29,Standard,0.0497
PROD10029,"Sami, Smart Printer",Office Supplies,Printers,"Sami,",640.0,453.05,20-35%,3.6,3,186,2023-11-26,Budget,0.0264
PROD10030,"Sen, Classic Smartwatche",Electronics,Smartwatches,"Sen,",3330.0,2734.52,5-20%,3.9,110,675,2025-05-03,Standard,0.1035
PROD10031,Shah Basic Handbag,Bags,Handbags,Shah,3150.0,1944.49,0-15%,4.7,1323,1417,2024-04-24,Budget,0.1081
PROD10032,Dara-Kota Advanced Academic,Books,Academic,Dara-Kota,1470.0,1075.81,10-25%,3.9,9,1911,2025-08-21,Standard,0.021
PROD10033,"Kade, Advanced Women's Western Wear",Fashion,Women's Western Wear,"Kade,",4740.0,2775.36,30-45%,4.0,50,378,2023-04-16,Standard,0.1774
PROD10034,Apte-Contractor Deluxe Smartwatche,Electronics,Smartwatches,Apte-Contractor,16910.0,15203.91,0-15%,3.5,42,1476,2024-07-05,Standard,0.1179
PROD10035,Sankar Basic Supplement,Health & Wellness,Supplements,Sankar,1570.0,1138.82,25-40%,4.5,636,1858,2023-02-22,Standard,0.0243
PROD10036,Goda Ultra Office Furniture,Furniture,Office Furniture,Goda,34380.0,26238.49,25-40%,4.6,47,2661,2023-11-05,Budget,0.1137
PROD10037,Behl-Chanda Smart Kids Wear,Fashion,Kids Wear,Behl-Chanda,1240.0,733.25,0-15%,3.5,41,2039,2024-06-27,Premium,0.133
PROD10038,Sidhu-Wadhwa Compact Pens & Pencil,Stationery,Pens & Pencils,Sidhu-Wadhwa,300.0,221.4,20-35%,4.2,142,1777,2025-09-04,Premium,0.0162
PROD10039,"Nair, Premium Storage",Furniture,Storage,"Nair,",6680.0,5176.2,20-35%,4.7,10,2931,2025-06-03,Standard,0.1267
PROD10040,Setty Advanced Staple,Grocery,Staples,Setty,1640.0,1283.26,20-35%,4.6,166,2230,2023-12-11,Standard,0.008
PROD10041,Morar Signature Action Figure,Toys,Action Figures,Morar,2520.0,1626.33,25-40%,4.1,150,1408,2024-12-19,Standard,0.0939
PROD10042,"Mistry, Ultra Skincare",Beauty,Skincare,"Mistry,",2680.0,1688.13,0-15%,3.9,210,1240,2023-02-14,Standard,0.0422
PROD10043,Bajwa Compact Camera,Electronics,Cameras,Bajwa,4720.0,4328.07,5-20%,3.7,28,1112,2023-07-18,Standard,0.0895
PROD10044,Keer Premium Men's Bottomwear,Fashion,Men's Bottomwear,Keer,1150.0,662.77,0-15%,3.8,9,324,2024-11-09,Premium,0.1199
PROD10045,"Nagy, Deluxe Skincare",Beauty,Skincare,"Nagy,",880.0,537.86,5-20%,4.0,40,876,2024-02-11,Premium,0.0436
PROD10046,"Virk, Classic Winter Wear",Fashion,Winter Wear,"Virk,",470.0,291.7,30-45%,3.8,34,1361,2023-08-27,Budget,0.1508
PROD10047,"Ray, Pro Office Furniture",Furniture,Office Furniture,"Ray,",31540.0,24957.92,10-25%,4.4,13,1871,2023-03-18,Exclusive,0.148
PROD10048,"Choudhury, Basic Cricket Gear",Sports,Cricket Gear,"Choudhury,",2060.0,1428.38,0-15%,3.4,63,323,2025-07-20,Exclusive,0.0564
PROD10049,Handa Compact Tablet,Electronics,Tablets,Handa,26480.0,21314.29,0-15%,4.0,35,1806,2023-03-15,Premium,0.0581
PROD10050,Boase-Narayanan Classic Women's Ethnic Wear,Fashion,Women's Ethnic Wear,Boase-Narayanan,1290.0,811.69,20-35%,3.3,72,2230,2024-10-26,Standard,0.1128
PROD10051,Ramakrishnan Advanced Winter Wear,Fashion,Winter Wear,Ramakrishnan,4690.0,2623.08,0-15%,3.8,656,2313,2024-08-22,Standard,0.1472
PROD10052,Setty Smart Makeup,Beauty,Makeup,Setty,1410.0,918.1,15-30%,4.5,67,1743,2023-04-04,Standard,0.0437
PROD10053,Kala-Vaidya Compact Oral Care,Personal Care,Oral Care,Kala-Vaidya,1980.0,1342.07,25-40%,4.1,12,657,2024-03-10,Budget,0.0322
PROD10054,Thaman-Sandhu Smart Kitchen Appliance,Appliances,Kitchen Appliances,Thaman-Sandhu,15730.0,13051.61,10-25%,3.9,18,2798,2025-07-21,Standard,0.0855
PROD10055,Kaul Classic Smart Watche,Watches,Smart Watches,Kaul,17090.0,11961.31,20-35%,3.4,12,2861,2023-10-13,Premium,0.064
PROD10056,"Sur, Essential Pet Accessorie",Pet Supplies,Pet Accessories,"Sur,",190.0,148.56,20-35%,4.7,18,2210,2023-12-01,Premium,0.0423
PROD10057,"Solanki, Signature Cookware",Home & Kitchen,Cookware,"Solanki,",5660.0,4003.76,10-25%,4.6,67,1641,2025-05-19,Standard,0.0544
PROD10058,"Konda, Basic Smartphone",Electronics,Smartphones,"Konda,",73700.0,63499.89,15-30%,3.7,65,2583,2025-12-26,Budget,0.0817
PROD10059,Rai Compact Wallet,Bags,Wallets,Rai,4290.0,2626.98,15-30%,4.1,43,758,2023-04-01,Exclusive,0.1153
PROD10060,Batta Advanced Cable,Mobile Accessories,Cables,Batta,310.0,209.79,15-30%,4.0,32,1099,2024-08-29,Standard,0.0712
PROD10061,Varma-Nayak Pro Women's Western Wear,Fashion,Women's Western Wear,Varma-Nayak,1080.0,635.36,10-25%,4.3,11,37,2024-12-30,Standard,0.0973
PROD10062,Acharya-Modi Signature Haircare,Beauty,Haircare,Acharya-Modi,1820.0,1230.56,30-45%,3.5,59,2912,2023-12-08,Standard,0.0357
PROD10063,Dara-Kota Compact Smartwatche,Electronics,Smartwatches,Dara-Kota,28730.0,26386.95,15-30%,4.1,42,2114,2025-06-30,Standard,0.0874
PROD10064,"Sampath, Basic Baby Gear",Baby Care,Baby Gear,"Sampath,",2830.0,2039.48,0-15%,3.4,129,42,2023-05-24,Premium,0.0644
PROD10065,Behl-Chanda Advanced Yoga,Sports,Yoga,Behl-Chanda,7470.0,5430.6,20-35%,4.4,1,2394,2025-02-14,Premium,0.0708
PROD10066,Pingle Everyday Winter Wear,Fashion,Winter Wear,Pingle,1640.0,896.24,20-35%,4.1,91,297,2023-03-07,Standard,0.2255
PROD10067,Dutta-Chokshi Classic Formal Shoe,Footwear,Formal Shoes,Dutta-Chokshi,760.0,481.85,30-45%,4.3,280,329,2025-11-10,Standard,0.1904
PROD10068,Amble Classic Snack,Grocery,Snacks,Amble,760.0,606.43,20-35%,4.2,8,1066,2023-04-02,Standard,0.0081
PROD10069,"Bala, Signature Academic",Books,Academic,"Bala,",1320.0,989.34,30-45%,4.2,24,1221,2025-06-29,Budget,0.0123
PROD10070,"Bhargava, Signature Kids Wear",Fashion,Kids Wear,"Bhargava,",1810.0,1111.75,20-35%,3.6,93,1101,2024-11-15,Premium,0.1526
PROD10071,Kapoor Classic Laptop,Electronics,Laptops,Kapoor,10750.0,8724.31,0-15%,4.1,52,1177,2024-08-10,Standard,0.0541
PROD10072,"Boase, Essential Tablet",Electronics,Tablets,"Boase,",15460.0,14101.87,20-35%,4.9,320,1554,2023-10-31,Budget,0.0786
PROD10073,"Sami, Smart Car Accessorie",Automotive Accessories,Car Accessories,"Sami,",1360.0,976.79,30-45%,3.6,71,1971,2025-07-28,Standard,0.0594
PROD10074,"More, Essential Supplement",Health & Wellness,Supplements,"More,",230.0,165.83,5-20%,4.2,9,320,2023-06-25,Standard,0.0208
PROD10075,"Lanka, Essential Beverage",Grocery,Beverages,"Lanka,",70.0,57.46,30-45%,4.2,11,1169,2023-06-26,Premium,0.0116
PROD10076,Dutta Basic Medical Device,Health & Wellness,Medical Devices,Dutta,680.0,441.43,20-35%,3.2,21,1036,2025-10-11,Premium,0.0281
PROD10077,Gupta-Chandra Everyday Wallet,Bags,Wallets,Gupta-Chandra,1300.0,825.69,0-15%,3.8,83,891,2025-05-14,Exclusive,0.0922
PROD10078,"Sunder, Classic Women's Western Wear",Fashion,Women's Western Wear,"Sunder,",790.0,427.92,15-30%,4.1,739,1686,2023-12-27,Standard,0.1405
PROD10079,"Krish, Smart Cookware",Home & Kitchen,Cookware,"Krish,",240.0,181.59,15-30%,,30,2213,2024-09-07,Standard,0.0534
PROD10080,"Sane, Everyday Women's Western Wear",Fashion,Women's Western Wear,"Sane,",610.0,330.03,5-20%,3.5,34,650,2023-02-08,Standard,0.1459
PROD10081,Bhatti-Kakar Premium Fitness Equipment,Sports,Fitness Equipment,Bhatti-Kakar,460.0,309.69,5-20%,4.2,68,1907,2023-01-03,Premium,0.0703
PROD10082,"Baral, Classic Bath & Body",Personal Care,Bath & Body,"Baral,",130.0,89.55,30-45%,3.8,1,2470,2025-12-08,Standard,0.0323
PROD10083,Dave Essential Cable,Mobile Accessories,Cables,Dave,650.0,411.81,20-35%,4.2,27,1818,2023-08-12,Standard,0.06
PROD10084,Sabharwal-Kothari Pro Kids Wear,Fashion,Kids Wear,Sabharwal-Kothari,2510.0,1389.86,15-30%,3.9,4,1078,2025-09-01,Budget,0.1048
PROD10085,Khatri-Bhardwaj Deluxe Office Stationery,Stationery,Office Stationery,Khatri-Bhardwaj,870.0,646.04,10-25%,4.6,233,2550,2024-07-15,Standard,0.0213
PROD10086,Sankar Classic Dairy,Grocery,Dairy,Sankar,80.0,69.81,25-40%,4.5,84,1557,2023-11-18,Budget,0.0104
PROD10087,Varma-Nayak Classic Home Decor,Home & Kitchen,Home Decor,Varma-Nayak,7170.0,5359.01,5-20%,3.6,55,709,2023-12-17,Budget,0.0822
PROD10088,Kala-Vaidya Premium Staple,Grocery,Staples,Kala-Vaidya,590.0,504.94,15-30%,3.7,61,820,2024-02-05,Budget,0.0112
PROD10089,"Khanna, Pro Oral Care",Personal Care,Oral Care,"Khanna,",660.0,419.08,15-30%,3.7,97,989,2025-09-09,Standard,0.0302
PROD10090,"Lanka, Everyday Office Stationery",Stationery,Office Stationery,"Lanka,",870.0,678.25,25-40%,3.9,6,2100,2023-05-30,Premium,0.0212
PROD10091,Behl-Chanda Premium Women's Ethnic Wear,Fashion,Women's Ethnic Wear,Behl-Chanda,1760.0,1068.53,5-20%,2.8,25,2293,2023-05-07,Standard,0.093
PROD10092,"Mittal, Premium Snack",Grocery,Snacks,"Mittal,",920.0,762.38,0-15%,3.3,361,2994,2024-12-19,Standard,0.0122
PROD10093,Handa Everyday Office Stationery,Stationery,Office Stationery,Handa,730.0,556.84,20-35%,3.4,31,597,2024-08-30,Standard,0.0226
PROD10094,Morar Basic Art Supplie,Stationery,Art Supplies,Morar,490.0,342.39,10-25%,3.6,65,857,2025-07-18,Premium,0.0146
PROD10095,"Lanka, Pro Packaged Food",Grocery,Packaged Food,"Lanka,",880.0,735.79,15-30%,3.3,66,1644,2025-07-13,Standard,0.0102
PROD10096,Gala Essential Makeup,Beauty,Makeup,Gala,300.0,179.46,25-40%,3.8,9,1666,2023-03-30,Standard,0.0576
PROD10097,"Ahluwalia, Basic Analog Watche",Watches,Analog Watches,"Ahluwalia,",6420.0,4169.25,0-15%,4.0,20,2924,2023-01-14,Standard,0.1027
PROD10098,"Boase, Basic Grooming",Personal Care,Grooming,"Boase,",150.0,100.4,30-45%,4.2,184,1344,2023-02-19,Standard,0.0332
PROD10099,"Memon, Premium Office Equipment",Office Supplies,Office Equipment,"Memon,",290.0,227.68,20-35%,4.4,140,2625,2025-08-11,Exclusive,0.0321
PROD10100,Sarin Compact Fans & Cooler,Appliances,Fans & Coolers,Sarin,14930.0,11794.05,30-45%,3.8,94,2154,2025-01-05,Standard,0.0668
PROD10101,"Memon, Compact Action Figure",Toys,Action Figures,"Memon,",780.0,559.66,25-40%,4.9,1489,648,2024-02-13,Standard,0.0937
PROD10102,Brar Classic Smartphone,Electronics,Smartphones,Brar,15260.0,12126.44,5-20%,3.7,54,2250,2025-02-24,Standard,0.0989
PROD10103,Rai Advanced Car Care,Automotive Accessories,Car Care,Rai,4990.0,3548.27,0-15%,3.4,3,489,2023-11-03,Standard,0.0701
PROD10104,Nath Classic Women's Casual,Footwear,Women's Casual,Nath,1530.0,985.26,15-30%,4.1,76,2987,2023-12-22,Premium,0.2679
PROD10105,"Ahluwalia, Signature Action Figure",Toys,Action Figures,"Ahluwalia,",360.0,238.18,0-15%,3.6,20,2698,2023-05-01,Standard,0.0791
PROD10106,"Loke, Ultra Staple",Grocery,Staples,"Loke,",1480.0,1181.99,5-20%,4.6,81,756,2025-07-27,Exclusive,0.0092
PROD10107,Nori-Chopra Essential Travel Bag,Bags,Travel Bags,Nori-Chopra,1500.0,993.7,25-40%,4.0,47,1112,2024-11-28,Standard,0.0945
PROD10108,"Solanki, Deluxe Office Furniture",Furniture,Office Furniture,"Solanki,",27560.0,21787.16,15-30%,3.6,65,1042,2024-10-21,Budget,0.1065
PROD10109,Dutta Advanced Soft Toy,Toys,Soft Toys,Dutta,540.0,370.01,15-30%,,20,2254,2023-12-09,Premium,0.0829
PROD10110,Iyengar Smart Phone Case,Mobile Accessories,Phone Cases,Iyengar,210.0,151.06,5-20%,4.3,44,532,2023-02-14,Standard,0.0595
PROD10111,"Chaudry, Everyday Staple",Grocery,Staples,"Chaudry,",190.0,148.58,5-20%,4.4,139,1925,2024-12-30,Standard,0.0082
PROD10112,Soman Classic Comic,Books,Comics,Soman,1240.0,988.71,30-45%,4.6,1554,959,2024-11-17,Standard,0.0189
PROD10113,"Nagy, Essential Smartphone",Electronics,Smartphones,"Nagy,",10530.0,9353.67,0-15%,4.1,14,1810,2024-11-04,Budget,0.0817
PROD10114,Handa Pro Filing & Storage,Office Supplies,Filing & Storage,Handa,500.0,382.41,0-15%,3.8,22,1497,2025-05-23,Budget,0.0236
PROD10115,Rai Essential Travel Bag,Bags,Travel Bags,Rai,1410.0,896.0,25-40%,3.6,69,1597,2023-08-03,Standard,0.1181
PROD10116,Chander Pro Headphone,Electronics,Headphones,Chander,3470.0,2876.28,15-30%,4.6,57,368,2025-08-20,Premium,0.0697
PROD10117,Gara-Chad Basic Home Decor,Home & Kitchen,Home Decor,Gara-Chad,1090.0,816.74,20-35%,4.0,185,1679,2023-09-17,Standard,0.0568
PROD10118,Acharya-Modi Premium Ayurveda,Health & Wellness,Ayurveda,Acharya-Modi,910.0,601.23,5-20%,5.0,833,980,2024-10-07,Budget,0.0303
PROD10119,Ramakrishnan Advanced Formal Shoe,Footwear,Formal Shoes,Ramakrishnan,2630.0,1787.64,30-45%,5.0,16,2200,2024-05-16,Budget,0.21
PROD10120,Bhatt-Rajan Deluxe Kitchen Appliance,Appliances,Kitchen Appliances,Bhatt-Rajan,9060.0,7376.59,15-30%,3.8,12,877,2023-04-23,Standard,0.1041
PROD10121,Shanker-Dhar Basic Charger,Mobile Accessories,Chargers,Shanker-Dhar,540.0,377.36,20-35%,3.6,10,1460,2024-11-20,Standard,0.0409
PROD10122,Setty Deluxe Bedding,Home & Kitchen,Bedding,Setty,8720.0,6346.99,30-45%,4.2,103,2532,2024-02-17,Budget,0.0837
PROD10123,"Prakash, Basic Office Equipment",Office Supplies,Office Equipment,"Prakash,",1790.0,1465.26,5-20%,4.4,59,571,2024-03-24,Premium,0.0334
PROD10124,"Iyer, Advanced Baby Food",Baby Care,Baby Food,"Iyer,",280.0,210.42,15-30%,4.0,387,2122,2023-03-21,Standard,0.0442
PROD10125,Handa Compact Winter Wear,Fashion,Winter Wear,Handa,380.0,213.75,20-35%,3.9,34,1837,2024-12-31,Standard,0.1631
PROD10126,Roy-Sibal Premium Office Stationery,Stationery,Office Stationery,Roy-Sibal,910.0,628.39,10-25%,4.2,143,1934,2024-01-09,Budget,0.0222
PROD10127,Morar Deluxe Men's Casual,Footwear,Men's Casual,Morar,2510.0,1481.68,30-45%,4.3,45,1692,2025-08-12,Premium,0.1953
PROD10128,"Choudhury, Smart Smartphone",Electronics,Smartphones,"Choudhury,",51760.0,43839.61,25-40%,3.3,12,2908,2024-11-14,Standard,0.0847
PROD10129,Handa Pro Women's Casual,Footwear,Women's Casual,Handa,3010.0,2033.72,25-40%,4.0,287,941,2024-06-12,Standard,0.1833
PROD10130,Gola Compact Winter Wear,Fashion,Winter Wear,Gola,1000.0,589.36,15-30%,4.1,18,2479,2025-05-21,Budget,0.1912
PROD10131,Parmar Compact Winter Wear,Fashion,Winter Wear,Parmar,1660.0,1030.68,20-35%,4.5,95,159,2023-10-26,Budget,0.1586
PROD10132,Dewan-Koshy Classic Diaper,Baby Care,Diapers,Dewan-Koshy,530.0,366.17,20-35%,3.5,42,646,2025-02-16,Standard,0.0449
PROD10133,Memon Compact Electronic Instrument,Musical Instruments,Electronic Instruments,Memon,12300.0,9238.44,20-35%,3.8,173,784,2023-10-23,Standard,0.0899
PROD10134,Palla Signature Charger,Mobile Accessories,Chargers,Palla,390.0,246.59,25-40%,4.7,104,174,2025-11-09,Premium,0.0435
PROD10135,"Yadav, Ultra Electronic Instrument",Musical Instruments,Electronic Instruments,"Yadav,",960.0,702.21,0-15%,3.5,159,1168,2024-12-23,Standard,0.0607
PROD10136,Chanda Deluxe Outdoor Sport,Sports,Outdoor Sports,Chanda,2160.0,1418.67,0-15%,4.8,23,170,2023-05-02,Standard,0.0601
PROD10137,Chanda Smart Beverage,Grocery,Beverages,Chanda,300.0,259.36,25-40%,4.2,32,580,2023-04-23,Standard,0.0088
PROD10138,Sankar Advanced Women's Ethnic Wear,Fashion,Women's Ethnic Wear,Sankar,1200.0,670.03,10-25%,3.9,35,2926,2025-11-16,Standard,0.1454
PROD10139,"Mital, Compact Supplement",Health & Wellness,Supplements,"Mital,",400.0,297.61,0-15%,3.8,8,1223,2025-11-22,Standard,0.0336
PROD10140,Setty Essential Home Decor,Home & Kitchen,Home Decor,Setty,2600.0,1890.89,20-35%,3.4,13,1078,2024-08-25,Premium,0.0662
PROD10141,Choudhury Ultra Makeup,Beauty,Makeup,Choudhury,930.0,562.86,15-30%,4.3,53,2279,2023-03-13,Standard,0.0447
PROD10142,Choudhury Basic Men's Topwear,Fashion,Men's Topwear,Choudhury,1400.0,778.06,15-30%,4.8,107,491,2023-02-11,Standard,0.1506
PROD10143,"Sane, Advanced Storage & Container",Home & Kitchen,Storage & Containers,"Sane,",980.0,700.27,15-30%,4.4,8,722,2024-12-12,Standard,0.073
PROD10144,"Sen, Pro Makeup",Beauty,Makeup,"Sen,",1380.0,847.98,10-25%,4.5,115,2541,2023-12-29,Premium,0.0632
PROD10145,"Mittal, Premium Living Room",Furniture,Living Room,"Mittal,",4460.0,3540.87,10-25%,4.7,32,175,2024-11-08,Budget,0.1101
PROD10146,Rastogi Essential Speaker,Electronics,Speakers,Rastogi,4620.0,3827.91,10-25%,3.6,43,1552,2024-11-04,Budget,0.1001
PROD10147,Iyengar Smart Women's Casual,Footwear,Women's Casual,Iyengar,2290.0,1339.67,0-15%,3.6,41,971,2024-07-11,Standard,0.1457
PROD10148,"Bhargava, Essential Men's Bottomwear",Fashion,Men's Bottomwear,"Bhargava,",1030.0,620.45,5-20%,4.0,185,2194,2025-02-18,Standard,0.131
PROD10149,Dave Ultra Cookware,Home & Kitchen,Cookware,Dave,390.0,276.85,0-15%,4.5,43,937,2025-06-23,Budget,0.0541
PROD10150,"Chaudhari, Classic Phone Case",Mobile Accessories,Phone Cases,"Chaudhari,",260.0,163.97,25-40%,4.4,37,2251,2023-03-05,Standard,0.0628
PROD10151,Randhawa-Deep Advanced Men's Bottomwear,Fashion,Men's Bottomwear,Randhawa-Deep,1730.0,1084.01,5-20%,4.4,14,1878,2023-01-07,Standard,0.1725
PROD10152,Behl-Chanda Advanced Camera,Electronics,Cameras,Behl-Chanda,4110.0,3753.76,0-15%,3.6,684,1952,2025-02-22,Standard,0.1029
PROD10153,"Nagy, Smart Speaker",Electronics,Speakers,"Nagy,",11880.0,9502.1,10-25%,3.7,294,1032,2023-01-03,Standard,0.065
PROD10154,"Yohannan, Deluxe Educational Toy",Toys,Educational Toys,"Yohannan,",2100.0,1374.95,25-40%,3.9,15,522,2024-09-10,Budget,0.0539
PROD10155,"Ahluwalia, Deluxe Dinnerware",Home & Kitchen,Dinnerware,"Ahluwalia,",1160.0,882.86,5-20%,4.1,245,2800,2024-02-12,Standard,0.02
PROD10156,Shanker-Dhar Signature Staple,Grocery,Staples,Shanker-Dhar,90.0,76.08,30-45%,3.8,1,1000,2023-02-21,Standard,0.009
PROD10157,Murthy Basic Ayurveda,Health & Wellness,Ayurveda,Murthy,1880.0,1240.73,30-45%,4.4,297,1155,2024-05-17,Standard,0.0358
PROD10158,"Ray, Signature Board Game",Toys,Board Games,"Ray,",560.0,352.81,30-45%,4.2,52,541,2025-07-29,Exclusive,0.0359
PROD10159,"Yohannan, Ultra Screen Guard",Mobile Accessories,Screen Guards,"Yohannan,",680.0,454.06,30-45%,4.0,2,2230,2024-02-01,Budget,0.0517
PROD10160,"Bhagat, Premium Action Figure",Toys,Action Figures,"Bhagat,",1460.0,950.68,10-25%,3.8,78,275,2024-04-15,Premium,0.0545
PROD10161,"Choudhury, Compact Wallet",Bags,Wallets,"Choudhury,",4380.0,2650.59,30-45%,4.1,92,1721,2024-05-26,Budget,0.1018
PROD10162,"Nagy, Advanced Speaker",Electronics,Speakers,"Nagy,",3620.0,2909.06,30-45%,3.6,44,2490,2024-07-27,Standard,0.0597
PROD10163,Gandhi-Lanka Smart Pet Grooming,Pet Supplies,Pet Grooming,Gandhi-Lanka,2650.0,2073.53,5-20%,4.4,168,1155,2024-07-16,Premium,0.0369
PROD10164,Rai Advanced Power Bank,Mobile Accessories,Power Banks,Rai,210.0,142.03,20-35%,5.0,159,154,2023-02-20,Standard,0.0852
PROD10165,"Bhat, Advanced Phone Case",Mobile Accessories,Phone Cases,"Bhat,",340.0,247.81,20-35%,3.7,43,2279,2025-06-11,Standard,0.0734
PROD10166,Upadhyay Basic Speaker,Electronics,Speakers,Upadhyay,75970.0,66463.39,30-45%,4.8,18,1386,2024-12-04,Exclusive,0.0947
PROD10167,Boase-Narayanan Deluxe Phone Case,Mobile Accessories,Phone Cases,Boase-Narayanan,1650.0,1190.83,15-30%,4.5,137,1515,2024-03-12,Premium,0.0807
PROD10168,Grewal Ultra Soft Toy,Toys,Soft Toys,Grewal,2490.0,1694.9,20-35%,3.6,84,352,2025-02-20,Standard,0.0946
PROD10169,Gala Compact Winter Wear,Fashion,Winter Wear,Gala,330.0,199.0,10-25%,4.2,103,1329,2025-06-27,Standard,0.1683
PROD10170,Dave Ultra Dinnerware,Home & Kitchen,Dinnerware,Dave,3880.0,2783.0,30-45%,3.6,15,2841,2024-10-06,Standard,0.0711
PROD10171,Naik Signature Sandals & Flip Flop,Footwear,Sandals & Flip Flops,Naik,1160.0,685.67,10-25%,4.3,39,252,2023-09-25,Premium,0.1387
PROD10172,Mangal-Sampath Ultra Packaged Food,Grocery,Packaged Food,Mangal-Sampath,490.0,383.06,20-35%,4.6,211,2380,2024-12-11,Standard,0.0101
PROD10173,"Choudhury, Deluxe Digital Watche",Watches,Digital Watches,"Choudhury,",6210.0,3940.84,25-40%,5.0,48,2971,2023-01-05,Budget,0.0466
